x,delta_A,delta_B,uu_id,witnesses
-2.0,1.0,4.0,1.0,A
-1.95,0.95,3.95,0.95,A
-1.9,0.8999999999999999,3.9000000000000004,0.8999999999999999,A
-1.85,0.8500000000000001,3.8499999999999996,0.8500000000000001,A
-1.8,0.8,3.8,0.8,A
-1.75,0.75,3.75,0.75,A
-1.7,0.7,3.7,0.7,A
-1.65,0.6499999999999999,3.6500000000000004,0.6499999999999999,A
-1.6,0.6000000000000001,3.5999999999999996,0.6000000000000001,A
-1.55,0.55,3.55,0.55,A
-1.5,0.5,3.5,0.5,A
-1.45,0.44999999999999996,3.45,0.44999999999999996,A
-1.4,0.3999999999999999,3.4000000000000004,0.3999999999999999,A
-1.35,0.3500000000000001,3.3499999999999996,0.3500000000000001,A
-1.2999999999999998,0.2999999999999998,3.3,0.2999999999999998,A
-1.25,0.25,3.25,0.25,A
-1.2,0.19999999999999996,3.2,0.19999999999999996,A
-1.15,0.1499999999999999,3.1500000000000004,0.1499999999999999,A
-1.1,0.10000000000000009,3.0999999999999996,0.10000000000000009,A
-1.0499999999999998,0.04999999999999982,3.05,0.04999999999999982,A
-1.0,0.0,3.0,0.0,A
-0.95,0.050000000000000044,2.95,0.050000000000000044,A
-0.8999999999999999,0.10000000000000009,2.9,0.10000000000000009,A
-0.8499999999999999,0.15000000000000013,2.8499999999999996,0.15000000000000013,A
-0.7999999999999998,0.20000000000000018,2.8,0.20000000000000018,A
-0.75,0.25,2.75,0.25,A
-0.7,0.30000000000000004,2.7,0.30000000000000004,A
-0.6499999999999999,0.3500000000000001,2.65,0.3500000000000001,A
-0.5999999999999999,0.40000000000000013,2.5999999999999996,0.40000000000000013,A
-0.5499999999999998,0.4500000000000002,2.55,0.4500000000000002,A
-0.5,0.5,2.5,0.5,A
-0.44999999999999996,0.55,2.45,0.55,A
-0.3999999999999999,0.6000000000000001,2.4,0.6000000000000001,A
-0.34999999999999987,0.6500000000000001,2.3499999999999996,0.6500000000000001,A
-0.2999999999999998,0.7000000000000002,2.3,0.7000000000000002,A
-0.25,0.75,2.25,0.75,A
-0.19999999999999996,0.8,2.2,0.8,A
-0.1499999999999999,0.8500000000000001,2.15,0.8500000000000001,A
-0.09999999999999987,0.9000000000000001,2.0999999999999996,0.9000000000000001,A
-0.04999999999999982,0.9500000000000002,2.05,0.9500000000000002,A
0.0,1.0,2.0,1.0,A
0.050000000000000266,0.9499999999999997,1.9499999999999997,0.9499999999999997,A
0.10000000000000009,0.8999999999999999,1.9,0.8999999999999999,A
0.1499999999999999,0.8500000000000001,1.85,0.8500000000000001,A
0.20000000000000018,0.7999999999999998,1.7999999999999998,0.7999999999999998,A
0.25,0.75,1.75,0.75,A
0.30000000000000027,0.6999999999999997,1.6999999999999997,0.6999999999999997,A
0.3500000000000001,0.6499999999999999,1.65,0.6499999999999999,A
0.40000000000000036,0.5999999999999996,1.5999999999999996,0.5999999999999996,A
0.4500000000000002,0.5499999999999998,1.5499999999999998,0.5499999999999998,A
0.5,0.5,1.5,0.5,A
0.5500000000000003,0.44999999999999973,1.4499999999999997,0.44999999999999973,A
0.6000000000000001,0.3999999999999999,1.4,0.3999999999999999,A
0.6500000000000004,0.34999999999999964,1.3499999999999996,0.34999999999999964,A
0.7000000000000002,0.2999999999999998,1.2999999999999998,0.2999999999999998,A
0.75,0.25,1.25,0.25,A
0.8000000000000003,0.19999999999999973,1.1999999999999997,0.19999999999999973,A
0.8500000000000001,0.1499999999999999,1.15,0.1499999999999999,A
0.9000000000000004,0.09999999999999964,1.0999999999999996,0.09999999999999964,A
0.9500000000000002,0.04999999999999982,1.0499999999999998,0.04999999999999982,A
1.0,0.0,1.0,0.0,A
1.0500000000000003,0.050000000000000266,0.9499999999999997,0.050000000000000266,A
1.1,0.10000000000000009,0.8999999999999999,0.10000000000000009,A
1.1500000000000004,0.15000000000000036,0.8499999999999996,0.15000000000000036,A
1.2000000000000002,0.20000000000000018,0.7999999999999998,0.20000000000000018,A
1.25,0.25,0.75,0.25,A
1.3000000000000003,0.30000000000000027,0.6999999999999997,0.30000000000000027,A
1.35,0.3500000000000001,0.6499999999999999,0.3500000000000001,A
1.4000000000000004,0.40000000000000036,0.5999999999999996,0.40000000000000036,A
1.4500000000000002,0.4500000000000002,0.5499999999999998,0.4500000000000002,A
1.5,0.5,0.5,0.5,A|B
1.5500000000000003,0.5500000000000003,0.44999999999999973,0.44999999999999973,B
1.6,0.6000000000000001,0.3999999999999999,0.3999999999999999,B
1.6500000000000004,0.6500000000000004,0.34999999999999964,0.34999999999999964,B
1.7000000000000002,0.7000000000000002,0.2999999999999998,0.2999999999999998,B
1.75,0.75,0.25,0.25,B
1.8000000000000003,0.8000000000000003,0.19999999999999973,0.19999999999999973,B
1.85,0.8500000000000001,0.1499999999999999,0.1499999999999999,B
1.9000000000000004,0.9000000000000004,0.09999999999999964,0.09999999999999964,B
1.9500000000000002,0.9500000000000002,0.04999999999999982,0.04999999999999982,B
